date,startup,vertical,subvertical,city,investors,round,amount
25-05-2016,Address Health,Healthcare,Pediatric Primary Healthcare Network,Bangalore,Gray Matters Capital,Private Equity,0.15
25-05-2016,Arcatron Mobility,Technology,Mobility Devices for differently abled,Pune,Sudhir Mehta,Angel Round,0.01
26-05-2016,Cleartax,Consumer Internet,Online Income Tax Filing platform,Bangalore,"FF Angel, Sequoia Capital",Private Equity,0.2
26-05-2016,mChamp,Consumer Internet,Celebrity Entertainment Contest App,New Delhi,MoMagic Technologies,Angel Round,0.05
30-05-2016,Vahanalytics,Technology,Safe driving Analytics platform,Mumbai,"Anirudh Damani, Vikram Lakhotia",Angel Round,0.02
31-05-2016,Koovs,eCommerce,Apparel & Lifestyle eTailer,New Delhi,HT Media Ltd,Private Equity,0.44
31-05-2016,CCavenue,Consumer Internet,Payment Gateway,Mumbai,NSI Infinium Global Pvt. Ltd,Private Equity,0.89
31-05-2016,MachaDalo,Consumer Internet,Hyperlocal Advertising Platform,Mumbai,Undisclosed Investors,Angel Round,0.02
04-01-2016,Dil Mil,Consumer Internet,Matchmaking Mobile App,SFO / Bangalore,"Nelstone Ventures, Transmedia Capital, Maiden Lane Ventures, CSC Upshot & Angel investors",Private Equity,0.27
04-04-2016,Hungama,Consumer Internet,Digital Media Entertainment Portal,Mumbai,Xiaomi Inc,Private Equity,2.5
04-06-2016,Shipsy,Logistics,Logistics Solutions,Gurgaon,DTDC Express Ltd,Private Equity,0.1
04-06-2016,gear6,Consumer Internet,Online bike service and repairs platform,Bangalore,Ninestarter,Angel Round,0.05
04-06-2016,MyGlamm,Consumer Internet,Mobile based on-demand Beauty Services platform,Mumbai,L\\xe2\\x80\\x99Occitane,Private Equity,0.6
04-06-2016,Petoo,Consumer Internet,Online Food Delivery Platform,Bangalore,Axilor Ventures,Private Equity,0.1
04-11-2016,Living Local,Consumer Internet,Social discovery platform,Mumbai,Rattan Chadha,Angel Round,0.02
04-11-2016,Oyo,Consumer Internet,Online Branded Budget Room Booking Service,New Delhi,"Softbank, Sequoia Capital, Lightspeed Venture Partners, Greenoaks Capital, DSG Consumer Partners and Venture Nursery",Private Equity,10
04-11-2016,PriceRaja,Consumer Internet,Price Comparison Portal,Gurgaon,Prashant Puri,Angel Round,0.03
04-12-2016,MagicX,Consumer Internet,On-Demand Task Management App,Bangalore,"Kris Gopalakrishnan, Dr. Ranjan Pai",Angel Round,0.1
13-04-2016,Legalraasta,Consumer Internet,Online legal Services for Startups,New Delhi,"Pravin Khandelwal, Yatin Kumar Jain",Angel Round,0.1
13-04-2016,RainCan,Consumer Internet,Subscription-based grocery delivery Mobile App,Pune,Dr. Aniruddha Malpani,Angel Round,0.02
13-04-2016,Hippily,eCommerce,Fashion ECommerce App,Mumbai,"Dr. Sridhar Ramaswamy, Rakesh Mathur",Angel Round,0.03
13-04-2016,kredX,eCommerce,Invoice discounting\\xc2\\xa0 Marketplace,Bangalore,"Prime Venture Partners,",Angel Round,0.08
14-04-2016,BeaconsTalk,Technology,contextual mobile advertising,Mumbai,"Rajeev Agrawal, Prashant Gooty",Angel Round,0.01
15-04-2016,RenewBuy,Consumer Internet,Online Car & Bike Insurance Comparison portal,New Delhi,Mount Nathan Advisors,Angel Round,0.1
15-04-2016,Vyomo,Consumer Internet,On-Demand Beauty Service provider,New Delhi,Naturals Salon Chain,Private Equity,1.5
15-04-2016,NestAway,Consumer Internet,Furnished Home Rental Platform,Bangalore,Tiger Global,Private Equity,3
15-04-2016,Tapchief,Consumer Internet,Expert Advice Platform,Bangalore,Vijay Shekhar Sharma,Angel Round,0.02
18-04-2016,Jugnoo,Consumer Internet,On-demand Delivery & Logistics platform,Chandigarh,Paytm & existing investors,Private Equity,1
19-04-2016,Betaout,eCommerce,customer intelligence and marketing automation platform,Noida,"Stanford Angels, LetsVenture, Chennai Angels, Hyderabad Angels, Mumbai Angels",Private Equity,0.15
19-04-2016,DriversCart,Consumer Internet,on-demand chauffeur provider,Chennai,ah! Ventures,Angel Round,0.05
19-04-2016,CollegeDekho,Consumer Internet,College & Student information platform,New Delhi,Man Capital,Private Equity,0.2
20-04-2016,1mg,eCommerce,Online Pharmacy,Gurgaon,"Maverick Capital Ventures, Sequoia Capital, Omidyar Network",Private Equity,1.5
22-04-2016,Licious,eCommerce,Mobile based Meat ordering App,Bangalore,Mayfield India II Management Ltd,Private Equity,0.3
22-04-2016,TOKO Innovation Studios,Consumer Internet,Children\xe2\x80\x99s Entertainment Games & Products,New Delhi,Indian Angel network,Angel Round,0.05
25-04-2016,Commut,Consumer Internet,Shuttle Service Provider,Hyderabad,50K Ventures,Angel Round,0.02
25-04-2016,Dropkaffe,Food & Beverage,Ready-to-Drink Beverage Producer,Bangalore,"GrowthStory, Apurva Salapuria, Hitesh Oberoi, Sidharth Pansari, Nirupa Shankar",Angel Round,0.06
26-04-2016,Transerv,Consumer Internet,Digital Payments platform,Mumbai,"IDFC SPICE Fund, Micromax Informatics",Private Equity,1.5
26-04-2016,ClearTax,Consumer Internet,Online filing of Tax returns,Bangalore,"Max Levchin, Scott Banister",Private Equity,0.13
26-04-2016,Roposo,eCommerce,Social Fashion ECommerce Discovery platform,Gurgaon,Bertelsmann India Investments,Private Equity,1.5
27-04-2016,MilkBasket,Consumer Internet,Micro Grocery Delivery Platform,Gurgaon,EVC Ventures,Angel Round,0.05
27-04-2016,ICHR,Consumer Internet,Mobile based Children health Information app,New Delhi,Undisclosed,Angel Round,0.05
28-04-2016,The Wedding Brigade,Consumer Internet,Online Wedding Information Portal,Mumbai,Blume Ventures & Other unnamed Investors,Angel Round,0.06
28-04-2016,DocsApp,Consumer Internet,Online Doctor Discovery & Chat platform,Bangalore,"Rebright Partners, Anand Rajaraman, Venky Harinarayan",Private Equity,0.12
29-04-2016,Impact Guru,Consumer Internet,Online Crowdfunding platform for NGOs & Social Projects,Mumbai,"RB Investments, Fundnel",Angel Round,0.05
29-04-2016,LetReach,eCommerce,ECommerce SAAS Solutions,New Delhi,vCommission,Private Equity,0.01
03-02-2016,MoMark,Consumer Internet,Mobile Wallet Aggregation platform,Noida,YourNest Angel Fund,Private Equity,0.06
03-02-2016,Systemantics,Technology,Industrial robots maker,Bangalore,"Nandan Nilekani, Accel Partners",Private Equity,0.14
03-03-2016,Imarticus Learning,Education,Financial Services & Analytics Education Institute,Mumbai,"Blinc Advisors, Amit Nanavati, Tashwinder Singh, Taranjit Jaswal, Amit Khanna",Private Equity,0.1
03-03-2016,Shouut,Consumer Internet,Social Discovery Mobile app,New Delhi,Undisclosed investor,Angel Round,0.05
03-04-2016,Aahaa,ECommerce,Office Products Super Store,Chennai,"YourNest Angel Fund,",Private Equity,0.1
03-04-2016,FTCash,Consumer Internet,Mobile Payments Platform,Kolkata,IvyCap Ventures,Angel Round,0.02
03-04-2016,Zappka,Consumer Internet,Mobile App discovery and review platform,Gurgaon,"Daman Soni, Rajat Gupta & Others",Angel Round,0.01
03-04-2016,medECUBE,Healthcare,Healthcare related Services provider,Gurgaon,Artiman Ventures,Private Equity,0.4
03-07-2016,N.O.W,Consumer Internet,Bike Taxi Service & Hyperlocal Delivery App,Noida,"Ruchirans Jaipuria, Anuj Sanghi",Angel Round,0.05
03-07-2016,Ninjacart,ECommerce,B2B marketplace for Farmers & Retailers,Bangalore,"Accel Partners, Qualcomm Ventures, M&S Partners, Zop Smart",Private Equity,0.3
03-07-2016,Reach,Consumer Internet,Cross Platform P2P file sharing mobile app,Bangalore,"Rebright Partners, Sol Primero, Sudhir Anandarao, Ankur Warikoo, Ankur Singla",Angel Round,0.05
03-07-2016,Vanity Cube,Consumer Internet,Hyperlocal Beauty Services platform,New Delhi,Unicorn Ventures,Angel Round,0.03
03-07-2016,Medidaili,Consumer Internet,Medical Support service platform,Bangalore,Undisclosed private investors,Angel Round,0.01
03-08-2016,LoveCycles,Consumer Internet,Women\\xe2\\x80\\x99s health Tracker,Bangalore,Prime Venture Partners,Angel Round,0.08
03-08-2016,Kartrocket,ECommerce,ECommerce SAAS platform,New Delhi,"Undisclosed Japanese investor, Bertelsmann India Investments, Nirvana Digital India Fund, Nirvana Digital Investment Holding Co Ltd, 500 Start-Ups",Private Equity,0.8
03-08-2016,dunzo,Consumer Internet,Daily Task Management App,Bangalore,"Aspada Investment Advisors, Blume Ventures.",Angel Round,0.07
03-09-2016,SmartVizX,Technology,Virtual Reality Solutions,Noida,"Indian Angel Network, Stanford Angels, Entrepreneurs India",Angel Round,0.05
03-09-2016,MyGubbi,Real Estate,Interior Design & Home D\\xc3\\xa9cor Solutions,Bangalore,"Vipul Parekh, ajesh K Murthy,",Angel Round,0.25
03-09-2016,Nukkad Shops,Consumer Internet,Hyperlocal Grocery Delivery Service,Hyderabad,PurpleTalk Inc,Angel Round,0.1
03-09-2016,Justride,Consumer Internet,Self Drive Car Rental,Mumbai,Dheeraj Jain & Other angel investors,Angel Round,0.04
03-10-2016,Big Fish Ventures,Food & Beverage,premium dining lounges Chain,New Delhi,Undisclosed investors,Private Equity,1.11
03-10-2016,Icertis,Technology,Contract Management Software Solutions platform,Pune/Seattle,"Ignition Partners, Greycroft Partners, Fidelity Growth Partners India",Private Equity,1.5
03-10-2016,Supplified,ECommerce,Construction material eTailer,New Delhi,Mohit Goel,Angel Round,0.1
14-03-2016,PinkBlue,ECommerce,Medical Supplies eTailer,Bangalore,"Hari Krishna, Ajay Modani, Dr V Ravinder, Anirudh Rastogi, Abhishek Jain, Rakesh Gakhar, Rajeev Mudumba, Nagendra Prasad Bhanuprakash",Angel Round,0.02
14-03-2016,TruckingCube,Logistics,"Domestic, Commercial, and Industrial Goods Movers",New Delhi,Agarwal Movers Group,Private Equity,1.49
15-03-2016,FlipClass,Consumer Internet,Tutor Search Platform,Bangalore,"S Chand and Co Pvt Ltd, Blume Ventures",Private Equity,0.1
15-03-2016,Proximit,Technology,Advertising Technology,Pune,Funding through 1Crowd platform,Angel Round,0.02
15-03-2016,WithMe,Consumer Internet,Personalized Fashion App,Gurgaon,"Alex Kuruvilla, Pradeep Guha, Saket Dhankar, Rajan Pandhare",Angel Round,0.03
16-03-2016,Gapoon,Consumer Internet,Hyperlocal Home Maintenance services,Bangalore,"Chandrashekar Tallapragada, Pankaj Kapoor",Angel Round,0.02
16-03-2016,Wealthy,Consumer Internet,Online Investment management portal,Bangalore,"Zishaan Hayath, Abhishek Goyal, Arjun and Rohan Malhotra, Harpreet Singh Grover, Gagan Dugal",Angel Round,0.03
17-03-2016,Pramati,Healthcare,Specialized Patient Care platform,Noida,Undisclosed investors,Angel Round,0.02
17-03-2016,Qlivery,Consumer Internet,Ondemand Concierge Service,Gurgaon,Swastika Company Ltd,Angel Round,0.02
17-03-2016,HealthEnablr,Consumer Internet,Doctor Discovery and booking platform,Mumbai,Undisclosed investors,Angel Round,0.08
17-03-2016,Liftiee,Consumer Internet,Car/ bike Pooling App,Mumbai,"Rannvijay Singh, Anita Hassanandani",Angel Round,0.01
18-03-2016,Hello Curry,Food & Beverage,Quick Service Restaurant Chain,Hyderabad,Sashi Reddi & Other unnamed investors,Private Equity,0.15
21-03-2016,Room On Call,Consumer Internet,Budget hotel aggregator,Gurgaon,CASHurDRIVE Marketing Pvt Ltd,Private Equity,0.2
22-03-2016,BYJU,Consumer Internet,Educational Video Content Creator,Bangalore,"Sequoia India, Sofina",Private Equity,7.5
22-03-2016,BigBasket,eCommerce,Online Grocery Shop,Bangalore,Abraaj Group,Private Equity,15
22-03-2016,DrivoJoy,Consumer Internet,On-demand 2-wheeler Servicing platform,Bangalore,"Indian Angel Network, Tracxn Labs & Others",Angel Round,0.06
22-03-2016,CreditSeva,Consumer Internet,Online Credit management tools,Hyderabad,"Pix Vine Capital, Infocomm Development Authority of Singapore",Angel Round,0.04
23-03-2016,Endless Robotics,Technology,Interior Painting Automation,Hyderabad,"Devidas Desai, Vipul Gautam, Singapore Angel Network",Angel Round,0.01
23-03-2016,SP Robotics,Technology,Robotic Classes for Students,Chennai,"Indian Angel Network,",Angel Round,0.03
23-03-2016,eKincare,Consumer Internet,Healthcare related solutions,Hyderabad,"BitChemy Ventures, Maheshwari Investments Pvt Ltd, Anshoo Gaur, Rama Krishna Reddy, Sandeep Seerapu",Private Equity,0.03
23-03-2016,Wheelstreet,Consumer Internet,Online Bike Rental platform,Bangalore,Broadbean Capital services,Private Equity,0.05
24-03-2016,Horntell,Consumer Internet,Unified Push Notification service,Gurgaon,"Bharanidharan Viswanathan, Sanjiv Mittal, Shobhit Shukla, Rahul Agarwal",Angel Round,0.02
28-03-2016,Schoolkart,eCommerce,Online Marketplace for Schools,Noida,Undisclosed investors,Angel Round,0.03
29-03-2016,Babygogo,Consumer Internet,Child healthcare experts aggregator mobile app,New Delhi,"Rajul Garg, Daljit Singh, Aditya Vij, Kishore Kumar, Shuchin Bajaj",Angel Round,0.03
29-03-2016,Veritas Finance,Finance,Asset Based Lending platform,Chennai,Sarva Capital,Private Equity,0.47
29-03-2016,QikShip,Consumer Internet,Mobile based Logistics provider,New Delhi,undisclosed investors,Angel Round,0.02
29-03-2016,FixNix,Consumer Internet,GRC SAAS Platform,Chennai,Jay Vijayan,Angel Round,0.05
30-03-2016,Touchkin,Healthcare,Predictive Healthcare platform,Bangalore,"Alok Mittal, Amit Gupta, Anuj Srivastava, Himanshu Aggarwal, Raghunandan G, Puneet Agarwal",Angel Round,0.04
02-02-2016,Altizone,Technology,IoT & M2M Solutions,Pune,"Wipro Ventures,\\xc2\\xa0 Lumis Partners",Private Equity,0.4
02-03-2016,Mazkara,Consumer Internet,Beauty & Wellness Platform,Pune / Dubai,Dunamis Ventures Pte Ltd.,Angel Round,0.1
02-03-2016,RoadGods,ECommerce,Auto Spare Parts eTailer,New Delhi,Green House Ventures (GHV),Angel Round,0.01
02-03-2016,Pindropmusic,Consumer Internet,Music Discovery Mobile App,Noida,Green House Ventures (GHV),Angel Round,0.01
02-05-2016,ZenDrive,Technology,Safe Driving Data & Analytics platform,Bangalore / SFO,"Sherpa Capital, Nyca Partners and Thomvest Ventures",Private Equity,1.35
02-05-2016,Gingercrush,Ecommerce,Personalized Products & Merchandize eTailer,Vadodara,"Saha Fund, TV Mohandas Pai, Zia Mody, Mumbai Angels, Ananda Kallugadde, Rakesh Desai, Rakesh Malhotra",Private Equity,0.1
02-05-2016,American Vision,Consumer Internet,Optical Store Aggregator Platform,Pune,Undisclosed investors,Angel Round,0.01
02-05-2016,DawaiLelo,Consumer Internet,Healthcare Services & Online Pharmacy Mobile App,Varanasi,Undisclosed investors,Angel Round,0.01
02-06-2016,Heads Up For Tails,Ecommerce,Pet Products eTailer,New Delhi,Undisclosed investors,Angel Round,0.1
02-08-2016,iStyleYou,Consumer Internet,Personal Fashion Stylist App,Gurgaon,Green House Ventures (GHV),Angel Round,0.01
02-08-2016,AdUrCup,Consumer Internet,Ad Network,New Delhi,Green House Ventures (GHV),Angel Round,0.01
02-08-2016,Xpressbees,ECommerce,ECommerce Logistics solutions,Pune,"SAIF Partners, IDG Ventures India, Vertex Ventures, Valiant Capital",Private Equity,1.25
02-10-2016,Capzest,Consumer Internet,Digital Lending Platform,Mumbai,Lion Ventures,Angel Round,0.02
02-10-2016,Affimity,Consumer Internet,Social Networking platform,Bangalore,undisclosed investors,Angel Round,0.12
02-10-2016,Anandakanda,Technology,Medicine Intake Reminder System,Pune,undisclosed investors,Angel Round,0.02
02-12-2016,ActOnMagic,Technology,Cloud Analytics and Management Products,Bangalore,Jayabalan Subramanian,Angel Round,0.01
02-12-2016,Bonhomia,Food & Beverage,premium Tea and Coffee,New Delhi,"Alok Rawat, Grey Orange Robotics",Angel Round,0.1
02-12-2016,iGrenEnergi,Technology,Solar Power Solutions,Mumbai,Sunil Mehta,Angel Round,0.1
02-12-2016,RKSV,Consumer Internet,Online Stock Trading Platform,Mumbai,Kalaari Capital,Private Equity,0.4
15-02-2016,Aasaanjobs,Consumer Internet,Online Recruitment Marketplace,Mumbai,"Aspada Advisors, IDG Ventures,\\xc2\\xa0 Inventus Capital",Private Equity,0.5
15-02-2016,Snapdeal,eCommerce,Horizontal Online Marketplace,New Delhi,Ontario Teachers\\xe2\\x80\\x99 Pension Plan & Others,Private Equity,20
15-02-2016,GoYaNo,Consumer Internet,Events & Restaurant Discovery Marketplace App,Gurgaon,Mukesh Kumar Gupta,Angel Round,0.01
15-02-2016,RentSher,Consumer Internet,Online Household Product Rental platform,Bangalore,"Vaibhav Doshi, Abhay Singhal, Vibhu Garg, Joby Babu, Abhishek Acharya, Manish Shah",Angel Round,0.03
15-02-2016,Buddy,Finance,Micro Lending Platform for eCommerce purchases,Bangalore,"Blume Ventures,\\xc2\\xa0 Tracxn Labs",Angel Round,0.05
16-02-2016,TableHero,Consumer Internet,Dynamic Restaurant Website creator,Bangalore,"GrowX Ventures, Kunal Shah, Sandeep Tandon, Haresh Chawla, Powai Lake Ventures, Globevestor",Angel Round,0.1
16-02-2016,BetterPlace,Technology,Data analytics based Verification services Platform,Bangalore,Unitus Seed Fund,Angel Round,0.1
16-02-2016,icustommadeit,eCommerce,Professional Custom creators Marketplace,Pune,"Brand Capital, Siddhivinayak Skyscrapers, Dinesh R. Challa",Private Equity,0.4
17-02-2016,GameZop,Technology,Mobile Gaming Platform,New Delhi,"KWAN Entertainment & Marketing Solutions, Powerhouse Ventures & Others",Angel Round,0.04
17-02-2016,The Viral Fever,Consumer Internet,Independent Online Video production company,Mumbai,Tiger Global,Private Equity,1
17-02-2016,Avanti Learning,Education,Private Coaching Classes,New Delhi,Michael & Susan Dell Foundation,Private Equity,0.5
18-02-2016,HealthKumbh,Consumer Internet,Health related Information portal,Ahmedabad,Undisclosed investor,Angel Round,0.01
18-02-2016,Careongo,ECommerce,Online Pharmacy store,New Delhi,Farooq Oomerbhoy & Other angel investors,Angel Round,0.03
18-02-2016,Ark Robot,Technology,Warehouse Automation,Bangalore,Qualcomm (Through QPrize Contest),Angel Round,0.04
19-02-2016,Jaypore,ECommerce,Ethnic Products marketplace,New Delhi,Aavishkaar,Private Equity,0.5
19-02-2016,Advantage Club,Consumer Internet,mobile platform for corporate employee benefits,Gurgaon,Purvi Ventures & Others,Angel Round,0.04
22-02-2016,Baby Berry,Consumer Internet,Parenting Mobile app,Bangalore,Nitin Bagmane & Other undisclosed investors,Angel Round,0.1
22-02-2016,Magicpin,Consumer Internet,Hyperlocal Discover Mobile App,New Delhi,Lightspeed India,Private Equity,0.3
22-02-2016,First Eat,Consumer Internet,Healthy Food Delivery platform,New Delhi,Undisclosed investor,Angel Round,0.01
22-02-2016,Taskbob,Consumer Internet,Hyperlocal Handyman services platform,Mumbai,"IvyCap Ventures, Orios Venture Partners, Mayfield India",Private Equity,0.45
23-02-2016,CupoNation,Consumer Internet,Deals and Discount platform,Gurgaon,"Rocket Internet AG, Holtzbrink Ventures, New Enterprise Associates (NEA), e.ventures, ru-Net, Deutsche Telekom Strategic Investments (DTSI), Silicon Valley Bank",Private Equity,1.1
24-02-2016,Sayfix,Consumer Internet,Hyperlocal Home Services Provider,Bangalore,Yajnanarayana Kammaje,Angel Round,0.02
